problem,calibratorVariant,baseVariant,targetVariant,targetDisplayName,runCount,medianSelectionDiffPoolRate,oracleAuditEnabledRate,medianSelectionOverlapPareto,medianAuditedUpdateCount,meanAuditedUpdateCount,auditedPositiveRunCount,auditedUpdateCountSignrankP,dominantStopGoReason,passSelectionDiff,passOracleAudit,passAuditedUpdates,stopGoPass
DASCMOP1_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP1_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP2_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP2_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP3_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP3_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP4_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP4_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP5_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP5_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP6_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP6_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP7_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP7_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP8_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP8_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP9_BC,beta,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
DASCMOP9_BC,raw,ParetoOnly,FullV2,FullNew,1,NaN,0,NaN,0,0,0,1,,0,0,0,0
