problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,26294,22270,19440,7038,7038,230,6808,911,0.0595254260333881,0.0630100356869905,0.0380171297816794,0.96874111963626,0,1,0.0434782608695652,0.561251468860165,0.0583137485311398,0.237261477091325,0.167596994597734,1,1,100,898,864,864,0.253258168568585,0.240267683864347,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP1_BC,DASCMOP_BC,2,1002,24525,21283,19001,6998,6998,216,6782,918,0.0644428551557644,0.0678376301401418,0.0411465461508823,0.970848813946842,0,1,0.0555555555555556,0.67826599823061,0.0507225007372457,0.180959242512507,0.180959242512507,1,1,99,916,875,875,0.257648671748458,0.246707296511632,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP1_BC,DASCMOP_BC,3,1003,25571,21721,19300,7043,7043,165,6878,919,0.0662825059118549,0.0710561899156917,0.0410723869787556,0.978702257560699,0,1,0.0909090909090909,0.512939808083745,0.0613550450712416,0.166112281586227,0.166112281586227,1,1,99,919,887,887,0.253386504786572,0.235770964185848,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP1_BC,DASCMOP_BC,4,1004,26313,23033,19719,7188,7188,257,6931,919,0.0708426916000105,0.074122802979626,0.0433221532907346,0.965358931552588,0,1,0.0311284046692607,0.759197806954263,0.0639157408743327,0.187999307353885,0.187999307353885,1,1,95,862,845,845,0.239934092606216,0.220100367216392,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP1_BC,DASCMOP_BC,5,1005,25498,21284,19383,7152,7152,132,7020,916,0.0770169048342746,0.0838995973257538,0.0445742456827994,0.982941834451902,0,1,0.0757575757575758,0.556552706552706,0.0626780626780627,0.173995995557687,0.173995995557687,1,1,92,903,854,854,0.253923656428829,0.232885921249587,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP2_BC,DASCMOP_BC,1,1001,32331,29927,19673,7109,7109,661,6448,917,0.0441776542563398,0.0462376299733252,0.0146533621163742,0.909691939794626,0.0151285930408472,1,0.0287443267776097,0.533808933002481,0.145471464019851,0.136693940630423,0.136693940630423,1,1,100,672,668,668,0.204558528579226,0.19693860920051,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP2_BC,DASCMOP_BC,2,1002,32351,29348,20011,7216,7216,744,6472,917,0.0348513375100481,0.0358373087077934,0.0244849119965504,0.900776053215078,0.0120967741935484,1,0.0376344086021505,0.668881334981459,0.115111248454883,0.137374336756551,0.133079267421438,1,1,100,684,680,680,0.173537479907807,0.165036417241822,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP2_BC,DASCMOP_BC,3,1003,32207,29358,20353,7273,7273,732,6541,919,0.032176237064723,0.033159996184888,0.019507216538441,0.90279114533205,0.00683060109289617,1,0.0341530054644809,0.624675126127503,0.12597462161749,0.137857282101987,0.137857282101987,1,1,100,675,671,671,0.186798420437824,0.177350688429882,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP2_BC,DASCMOP_BC,4,1004,33399,30601,20761,7284,7284,814,6470,916,0.0306411755144382,0.0315503220966443,0.0181597140693706,0.891543108182317,0.0122850122850123,1,0.0294840294840295,0.627047913446677,0.131839258114374,0.139509605142956,0.139509605142956,1,1,100,662,658,658,0.157523694253449,0.148495094000844,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP2_BC,DASCMOP_BC,5,1005,32734,29568,20319,7244,7244,683,6561,915,0.0446372179867149,0.0464790769357898,0.027936386632864,0.907647708448371,0.0175695461200586,1,0.020497803806735,0.630239292790733,0.0784941319920744,0.191405637742851,0.191405637742851,1,1,100,759,755,755,0.18249124567536,0.170032808841033,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP3_BC,DASCMOP_BC,1,1001,4797,2103,2102,2011,2011,74,1937,852,0.0456947368771732,0.0372349830802359,0.0370356832843099,0.96369965191447,0.0135135135135135,1,0.0135135135135135,0.408879710893134,0.0340733092410945,0.237292722861724,0.237292722861724,1,1,99,967,962,962,0.368500723573568,0.368339325479493,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP3_BC,DASCMOP_BC,2,1002,4083,1903,1901,1851,1851,64,1787,868,0.022966305013605,0.0201988959800281,0.020747613642982,0.966504592112372,0,1,0.03125,0.332400671516508,0.0453273642977057,0.269232775835416,0.269232775835416,1,1,98,969,963,963,0.401865247561883,0.401863064508024,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP3_BC,DASCMOP_BC,3,1003,5740,3126,3122,2965,2965,108,2857,911,0.045299010231888,0.0409821629379125,0.0415560634365891,0.96424957841484,0,1,0.0185185185185185,0.302765138256913,0.0367518375918796,0.168084967125524,0.168084967125524,1,1,97,919,914,914,0.345352148763689,0.3416082743682,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP3_BC,DASCMOP_BC,4,1004,5935,3184,3182,3055,3055,86,2969,930,0.0647264198763425,0.0561636361699343,0.0583972902938051,0.972176759410802,0,1,0.0116279069767442,0.461434826540923,0.047490737622095,0.137589828321322,0.132614869249162,1,1,100,942,897,897,0.314572979024895,0.314310357146236,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP3_BC,DASCMOP_BC,5,1005,4611,2094,2092,1972,1972,130,1842,876,0.0627626981619036,0.0557528704010891,0.0584234693031214,0.935598377281947,0,1,0.0230769230769231,0.483170466883822,0.0445168295331162,0.244281262609293,0.244281262609293,1,1,98,970,966,966,0.366733404160106,0.365502803220802,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
DASCMOP4_BC,DASCMOP_BC,1,1001,7858,4066,4060,3386,3386,4,3382,532,0.0141376392753369,0.0144770982717259,0.0117435448233058,0.998818665091553,0,1,0,0.461856889414548,0.000591366055588409,0.483360184747043,0.483360184747043,1,1,100,603,512,512,0.488451699680202,0.486813543888272,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,172.191544583333
